Country Code,Region,SL.TLF.INTM.ZS,SL.TLF.CACT.MA.ZS,SP.URB.TOTL.IN.ZS,SL.TLF.BASC.ZS,TX.VAL.AGRI.ZS.UN,NY.GNP.PCAP.KD,NE.TRD.GNFS.ZS,NV.IND.MANF.ZS,SH.H2O.BASW.ZS,SI.DST.10TH.10,SL.TLF.ADVN.ZS,AG.LND.ARBL.ZS,SE.PRM.CMPT.ZS,SL.TLF.0714.ZS,SP.RUR.TOTL.ZS,NY.GDP.MINR.RT.ZS,EG.ELC.ACCS.ZS,NY.GDP.PETR.RT.ZS,TX.VAL.MMTL.ZS.UN,SL.TLF.CACT.FE.ZS
AGO,Sub-Saharan Africa,89.21,77.467,70.6551379036435,85.641,0.0343988204055892,3240.53033158937,50.8422305562091,7.62750781911399,67.9607422242112,39.6,92.779,4.31940322451271,47.8556786596463,30.1,29.3448620963565,0.0,51.1,28.2744398825844,4.35688565012152,72.224
ALB,Europe & Central Asia,68.53,70.218,58.5463634043555,54.455,0.478588016708596,6816.67297750756,79.4546360752224,6.50597363839623,95.1194270680062,22.8,82.056,21.5583941605839,107.345321655273,5.5,41.4536365956445,0.180213705970408,100.0,1.04218369204761,5.64934031462141,58.567
ARG,Latin America & Caribbean,63.497,71.663,92.2742315972952,46.094,0.569107123358434,12505.2907557563,27.929760849367,15.1850458096465,99.0413738458383,31.2,78.584,14.7577340144481,98.9436486948575,5.025251,7.7257684027048,0.580266654524776,100.0,1.54438228879011,0.170904833823205,52.469
ARM,Europe & Central Asia,65.185,69.522,65.8113671449901,35.64,0.326290727403031,5100.32060529785,150.064726588742,10.1577162268666,99.9315721509168,22.9,72.326,15.6598854445336,98.213668887244,9.9,34.1886328550099,6.78656847475307,100.0,0.0,16.1462440928624,51.057
BEN,Sub-Saharan Africa,68.465,77.558,52.5455354818423,66.244,52.8512203374072,1304.49669100683,40.6398022401523,10.1743449588896,69.5868397867067,27.2,76.049,31.4468987229514,61.6417503356934,24.1,47.4544645181577,0.0,57.0,0.0,0.0708610340008799,75.164
BFA,Sub-Saharan Africa,54.925,76.135,28.3352514896662,58.031,6.03371512709553,713.639642168901,60.5024222912348,9.49858147123838,49.9986600107497,30.2,72.833,28.9012744883041,51.9892903102133,50.3,71.6647485103338,15.4526004842572,21.7,0.0,0.247414696660435,64.074
BGD,South Asia,60.194,80.404,32.6783196323307,57.839,0.767841924151289,1303.87050839108,26.7780758040478,21.8929603584194,98.7825421934741,25.5,74.856,60.6277888905986,94.3021681436472,5.002084,67.3216803676693,0.0,99.5,0.0315771885826906,0.293795364051544,38.649
BIH,Europe & Central Asia,61.842,59.978,52.1224302754935,24.866,3.97874953223472,6747.67481641577,95.1562957108171,12.7116441103994,96.0873127231219,25.1,82.572,7.2265625,100.520736694336,10.6,47.8775697245065,0.0397800429056463,100.0,0.0,8.26696745615403,39.241
BLR,Europe & Central Asia,68.805,69.858,79.1551015210848,13.89,3.58103012490945,6836.76225157673,131.91792910245,20.311752291688,99.8924920429612,20.7,83.692,27.4298832907189,95.772858453021,2.3,20.8448984789152,0.0,100.0,0.81410582144289,1.14504386655469,56.769
BOL,Latin America & Caribbean,78.256,84.439,71.2361453773988,73.909,1.0336461136292,3039.77136301269,46.9778716148403,13.0661500585552,93.3877494672031,31.3,86.863,5.13483577956245,96.2025910226778,13.92,28.7638546226012,5.91005603334556,99.8,1.26335187425347,43.5898503549869,72.868
